"session";"created";"modified";"ended";"expired";"datenschutz";"ein_p_1";"ein_p_2";"ein_p_x";"ein_t_1";"ein_t_2";"hyb_p_2";"hyb_p_3";"hyb_p_4";"hyb_p_5";"hir_p_1";"hir_p_2";"hir_p_3";"hir_t_1";"hir_t_2";"hir_t_3"
"lH7YaOZjUas61G62RIVoJFowoTvFDczk8m8kgELD2igXV_QD2bo4cWIDcAjew6nG";"2020-02-18 14:21:30";"2020-02-18 14:25:09";"2020-02-18 14:25:09";"";"1";"5";"2";"";"2";"4";"5";"6";"6";"6";"6";"6";"6";"6";"6";"6"
"pRpgU3xrAh3tb0WW_OKP5pdr9w2XH26LB2BVmt6vwZo46UvnxHzuE-LMBcrzi_ip";"2020-02-18 14:21:34";"2020-02-18 14:25:15";"2020-02-18 14:25:15";"";"1";"5";"1";"";"1";"2";"6";"4";"4";"4";"5";"5";"6";"2";"3";"4"
"r5nRJ6aVBkQ7rkZFWlHvcauR488uMug2eZnw5bwkggDVO1I6DmMmHYaoGx3R2yd6";"2020-02-18 14:21:47";"2020-02-18 14:25:22";"2020-02-18 14:25:22";"";"1";"5";"2";"";"3";"5";"5";"5";"5";"6";"5";"5";"5";"5";"5";"5"
"90gpVrV47fdngO_vlqpa8oG-iHgZsDDzjCugXxH623e_4cg2KoNVE5Fssrhz8bUL";"2020-02-18 14:23:04";"2020-02-18 14:24:54";"2020-02-18 14:24:54";"";"1";"6";"3";"";"4";"3";"5";"5";"5";"5";"6";"6";"6";"3";"5";"3"
"689656D3vFpTyH17hSAXh-0p25Zc7HY_CTZrGIo7IP7uOyQaEkMt9SwoVAtcE9rc";"2020-02-18 14:23:06";"2020-02-18 14:25:39";"2020-02-18 14:25:39";"";"1";"5";"2";"";"6";"3";"6";"6";"6";"5";"5";"5";"5";"4";"4";"5"
"DHEy66ctJwZSuW2hpXkQEo5rVSJ-Z3j7usDn-bo79qBBFfXWjO3bQp8eQXn2jqsz";"2020-02-18 14:23:06";"2020-02-18 14:26:51";"2020-02-18 14:26:51";"";"1";"2";"5";"Zu viele zusätzliche Anforderungen und Veranstaltungen (Schule + Seminar + Uni -> Fächer in Fachdidaktik bieten leider auch wenn es nicht sein sollte Veranstaltungen während SPS an) ";"3";"4";"6";"5";"5";"6";"3";"4";"3";"4";"4";"4"
"nfUxdiqJVnNogEXouv4z9vBAMIjzyvDhnYaLZpWQ2mZyGjZq7m2T5Zvw6S9li4Xq";"2020-02-18 14:23:26";"2020-02-18 14:27:04";"2020-02-18 14:27:04";"";"1";"6";"2";"";"1";"6";"3";"3";"3";"3";"4";"3";"3";"2";"3";"4"
"4j-LTJtrW0pNMIha7ZNYnwslgVnZLA6AP11F3nBCE17sxHZBPngqQhREfb1oRWm8";"2020-02-18 14:23:29";"2020-02-18 14:27:48";"2020-02-18 14:27:48";"";"1";"6";"1";"";"2";"5";"4";"2";"5";"2";"6";"6";"6";"5";"5";"5"
"TBbVTWfC_7BO0Wl2PTHi2JpirET6NUgkZq_RTf8gC6WNRoFuElnixYcXeqGdSa6-";"2020-02-18 14:23:35";"2020-02-18 14:26:29";"2020-02-18 14:26:29";"";"1";"6";"4";"v.a. in der Englischen Fachdidaktik wurden zu hohe Anforderungen gestellt";"5";"5";"5";"5";"6";"6";"6";"6";"6";"4";"4";"4"
"OKYh3mTVHxpMZMMFX8zk6m5e25Gw_UhqgkqI6OvPIC981xzCB0_jx5nnQh7yzUDJ";"2020-02-18 14:24:15";"2020-02-18 14:26:31";"2020-02-18 14:26:31";"";"1";"5";"5";"";"1";"6";"2";"3";"3";"3";"1";"2";"1";"2";"3";"5"
"V0aqaxqbA84XYhnL3gohmJaLtKPWkkvet72SDxqgAsZqb57QGQAowXalJ6wrR2fk";"2020-02-18 14:24:34";"2020-02-18 14:26:39";"2020-02-18 14:26:39";"";"1";"5";"2";"";"2";"5";"5";"6";"5";"6";"5";"5";"5";"3";"3";"3"
"5qRrvMpDFoj0U2Kut0d8KyupjKB55QqxqnIGD3jbWl97v_Q4vEVMyXbNyDuXW-ow";"2020-02-18 14:25:02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"OV3nuKn3LegZYGNJzTFQZvWd58fsuOiLsJSKs9fxD0t1dJH9b0AAWwaxkFKjHUGI";"2020-02-18 14:25:55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hei6wGRitmrMcOp5cBr29X02ejtjljC7Rs0HaArmlIustInc8x4-GfMObsNRROQJ";"2020-02-18 15:25:21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
