"session";"created";"modified";"ended";"expired";"datenschutz";"ein_p_1";"ein_p_2";"ein_p_x";"ein_t_1";"ein_t_2";"hyb_p_2";"hyb_p_3";"hyb_p_4";"hyb_p_5";"hir_p_1";"hir_p_2";"hir_p_3";"hir_t_1";"hir_t_2";"hir_t_3";"tfe_1_sr";"tfe_2_sr";"tfe_3_sr";"tfe_4_sr";"tfe_5_sr";"sel_1_sr";"sel_2_sr";"sel_3_sr";"sel_4_sr";"sel_5_sr";"enr_1_sr";"enr_2_sr";"enr_3_sr";"enr_4_sr";"enr_5_sr";"rel_1_sr";"rel_2_sr";"rel_3_sr";"rel_4_sr"
"innocentRedWolfXXX9GPrDT7CKKIPk9AyfhWHGRfM8CYPEoBgv4SRfCIePTJs1B";"2020-01-29 09:43:28";"2020-01-31 11:38:24";"";"";"1";"1";"1";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"1";"";"";"1";"";"1";"";"1";"1";"";"1";"1";"";"";"1";"";"1";""
"excitedBisonXXXqv6lIwiTbXUbk8zD6ZOyCK0Fj9ivIcQ8WyqB7wuFBEW25KuPj";"2020-01-29 09:44:21";"2020-01-29 09:50:44";"2020-01-29 09:50:44";"";"1";"2";"4";"wegen der Hose";"2";"4";"1";"4";"4";"2";"4";"2";"2";"3";"2";"6";"1";"2";"5";"2";"2";"1";"6";"4";"5";"3";"6";"4";"2";"2";"3";"2";"3";"2";"4"
"excitedBisonXXXqv6lIwiTbXUbk8zD6ZOyCK0Fj9ivIcQ8WyqB7wuFBEW25KuPj";"2020-01-29 09:51:29";"2020-01-29 09:54:16";"";"2020-01-29 09:54:19";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"excitedBisonXXXqv6lIwiTbXUbk8zD6ZOyCK0Fj9ivIcQ8WyqB7wuFBEW25KuPj";"2020-01-29 09:54:19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"darkSparrowXXXmuSqglTEfwjfBIL-FxzXUQ2wBXuF5uMA_drc5v1ZsfB-1qrU8V";"2020-01-29 09:57:46";"2020-01-29 09:57:53";"";"2020-01-29 09:58:21";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"darkSparrowXXXmuSqglTEfwjfBIL-FxzXUQ2wBXuF5uMA_drc5v1ZsfB-1qrU8V";"2020-01-29 09:58:21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"OxJWb4y6Tm2iO4NYBwyIDEKk_3YpEbLN18NIFUwViLRA_-ilutaj-NT44B4X2jtA";"2020-02-03 09:31:36";"2020-02-03 09:36:15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"clumsyFrogXXXK2y5JF7UNWUcjmOP2mzOna-j0nwjPPDjNm9bgdfsXAHY0CN-Yf6";"2020-02-03 09:31:52";"2020-02-03 09:32:02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"r-l3i_mA8KHL0rqeYxrV9yP501h_xlEn0CmVso_dkbGZD8IBId07CWJGzm0nk0qf";"2020-02-03 10:39:25";"2020-02-03 10:46:29";"2020-02-03 10:46:29";"";"1";"5";"1";"";"4";"5";"5";"5";"4";"6";"4";"4";"4";"6";"6";"6";"3";"2";"4";"4";"1";"4";"5";"4";"3";"3";"5";"5";"5";"5";"5";"6";"5";"6";"6"
"lPmCZreUyFdy9RU9tX1JdffMswNWRXlNoyPrVV0otOYKaQe6bp_tAs042Tz2lZUv";"2020-02-03 10:42:39";"2020-02-03 10:48:03";"2020-02-03 10:48:03";"";"1";"5";"2";"";"4";"6";"6";"3";"1";"5";"4";"6";"4";"5";"3";"3";"2";"3";"4";"1";"1";"5";"6";"1";"6";"4";"4";"3";"5";"3";"2";"6";"5";"5";"6"
"ksp-SCRxTVwG2QB0WjJJYI8o7rcWjOdFPFSTffboJern-CCcojcocUxPDOD9AX4q";"2020-02-03 11:24:42";"2020-02-03 11:29:41";"2020-02-03 11:29:41";"";"1";"2";"3";"Seminare nachmittags, Bio-Praktikum an der Uni, arbeiten gehen";"1";"3";"4";"4";"6";"5";"3";"3";"3";"4";"5";"5";"2";"4";"4";"2";"2";"5";"6";"5";"5";"5";"3";"3";"4";"4";"3";"5";"3";"5";"5"
"tJgmr_lm5iPo3AGl8BJgBYWQJ5cs9E9N5JzMJh_KxpFDL50hDy-kB5PrPibn4tKh";"2020-02-03 13:16:20";"2020-02-03 13:26:06";"2020-02-03 13:26:06";"";"1";"3";"3";"zeitlicher Umfang für die Bearbeitung der Aufgaben";"6";"4";"5";"3";"6";"5";"3";"5";"4";"1";"2";"5";"2";"3";"1";"2";"1";"4";"5";"5";"5";"5";"2";"3";"4";"4";"3";"5";"6";"5";"5"
"qxoaDfUo-_fIlPVMbjaQUUjDYxFxZ0uskmAbmkJLpIbOMUQe9cseeupBo0UKS54G";"2020-02-13 11:10:58";"2020-02-13 11:11:31";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"LAbSg3ttKvmJBrszegXacg6kUmejE9HhR012cZOIt3mzRQOdl5eLB402tAFlaUn0";"2020-02-13 12:47:01";"2020-02-13 17:59:11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BZC0dP7-tl8Vu6fzqq2bn0ocDb8J-mgePe8h9wOQtl-2xwnIlP59U-II00C2sMb1";"2020-02-13 14:49:00";"2020-02-13 14:52:27";"2020-02-13 14:52:27";"";"1";"6";"1";"";"4";"4";"4";"5";"5";"6";"6";"6";"6";"6";"5";"5";"2";"4";"3";"2";"1";"2";"6";"4";"3";"2";"4";"5";"4";"4";"4";"6";"4";"6";"6"
"hcWErweRl1Og6--p4YKzwqLtUqC_iVJxQHKbNNomSUYhPsRi9dYFeBo-Rn39ECMI";"2020-02-13 19:36:05";"2020-02-13 19:42:42";"2020-02-13 19:42:42";"";"1";"5";"1";"";"4";"4";"4";"4";"4";"5";"6";"5";"5";"4";"4";"6";"1";"2";"2";"1";"1";"3";"5";"4";"4";"2";"1";"3";"2";"4";"1";"3";"6";"6";"4"
"ksfZVhiPsLj39VfAWLgKfoVruW8fG88p9YB7IukHR2vwYyp9_6hJBWHVZcCeICWV";"2020-02-17 09:48:22";"2020-02-17 09:56:07";"2020-02-17 09:56:07";"";"1";"4";"4";"Ab ca. Woche 6 des Praktikums kamen sowohl die Reflexionsaufträge, als auch viele zu unterrichtende Stunden auf mich zu, deshalb war es schwierig beidem meine komplette Aufmerksamkeit zu schenken. Ich hätte gerne mehr Zeit gehabt meine Unterrichtsstunden vorzubereiten und weniger Gedanken über die Reflexionen zu machen, die machmal einen kompletten Tag gekostet haben und mich um meine Zeit der Unterrichtsvorbereitung gebracht haben. ";"5";"2";"5";"5";"4";"6";"5";"5";"5";"3";"3";"3";"3";"1";"3";"3";"3";"4";"6";"6";"6";"5";"6";"3";"5";"4";"2";"6";"5";"4";"5"
"NiJLwESkyNVbnoFB8sr7UhSv4t4f1V2h3xrfXTTUZu6CFJZm0leyXK9sDS1-Netz";"2020-02-17 14:21:25";"2020-02-17 14:25:20";"2020-02-17 14:25:20";"";"1";"6";"2";"";"4";"5";"3";"5";"4";"4";"5";"6";"5";"5";"4";"4";"4";"3";"3";"4";"2";"5";"6";"4";"5";"4";"5";"4";"5";"3";"6";"5";"5";"5";"6"
